96894306,2179089168
109071031,46664947
109071031,26781328
109071031,174098184
109071031,747599983
109071031,619572621
109071031,64391558
109071031,260724365
109071031,16146535
109071031,2178748327
76355393,2196759704
77943803,334922110
77943803,1537124484
77943803,72010438
15808128,389682689
15249499,41608251
146185363,14275426
96894306,2179089168
96894306,2179089168
109071031,46664947
109071031,26781328
109071031,174098184
109071031,747599983
109071031,619572621
109071031,64391558
109071031,260724365
109071031,16146535
109071031,2178748327
76355393,2196759704
77943803,334922110
77943803,1537124484
77943803,72010438
15808128,389682689
15249499,41608251
146185363,14275426
96894306,2179089168
