'Abiye Membere','Alhaji Abdullahi Bukar'
,0
'Abiye Membere','Aminu Baba-Kusa'
,0
'Abiye Membere','Andrew Yakubu'
,0
'Abiye Membere','Anthony Madichie'
,0
'Abiye Membere','Anthony Ogbuigwe'
,0
'Abiye Membere','Attahir B. Yusuf'
,0
'Abiye Membere','Awwalu Abubakar'
,0
'Abiye Membere','Ayodele Balogun'
,0
'Abiye Membere','Bala Mohammed'
,0
'Abiye Membere','Bart Nnaji'
,0
'Abiye Membere','Bashir Yugudu'
,0
'Abiye Membere','Bello H. Mohammed'
,0
'Abiye Membere','Bernard O.N. Otti'
,0
'Abiye Membere','Bolaji Abdullahi'
,0
'Abiye Membere','Bukar Tijani'
,0
'Abiye Membere','Caleb Olubolade'
,0
'Abiye Membere','Comrade Abba Moro'
,0
'Abiye Membere','Daniel Wadzani'
,0
'Abiye Membere','Danladi Kifasi'
,0
'Abiye Membere','David Ige'
,0
'Abiye Membere','Diezani Alison-Madueke'
,0
'Abiye Membere','Eddy Ejikam'
,0
'Abiye Membere','Emeka Wogu'
,0
'Abiye Membere','Erelu Olusola Obada'
,0
'Abiye Membere','Godsday Orubebe'
,0
'Abiye Membere','Goodluck Jonathan'
,0
'Abiye Membere','Idris A.Umar'
,0
'Abiye Membere','Ita Okon Bassey Ewa'
,0
'Abiye Membere','Labaran Maku'
,0
'Abiye Membere','Levi Ajuonuma'
,0
'Abiye Membere','Mike Onolememen'
,0
'Abiye Membere','M.O Bajomo'
,0
'Abiye Membere','Mohammed Bello Adoke'
,0
'Abiye Membere','Mohammed Musa Sada'
,0
'Abiye Membere','Ngozi Okonjo-Iweala'
,0
'Abiye Membere','Olajumoke Akinjide'
,0
'Abiye Membere','Olugbenga Ashiru'
,0
'Abiye Membere','Olusegun O. Aganga'
,0
'Abiye Membere','Olusegun Okunnu'
,0
'Abiye Membere','Onyebuchi Chukwu'
,0
'Abiye Membere','Peter S. Nmadu'
,0
'Abiye Membere','Ruqayyatu Rufai'
,0
'Abiye Membere','Samuel Ioraer Ortom'
,0
'Abiye Membere','Shamsudeen Usman'
,0
'Abiye Membere','Stella Oduah-Ogiemwonyi'
,0
'Abiye Membere','Steven Oronsaye'
,0
'Abiye Membere','Viola Onwuliri'
,0
'Abiye Membere','Yerima Lawal Ngama'
,0
'Abiye Membere','Yusuf Sulaiman'
,0
'Abiye Membere','Zainab Ibrahim Kuchi'
,0
