"last.name","first.name","state","party","gender","nameid","icpsr.id","class","next.election","missingVotes","idealPoint","lo","up","label"
"Tester","Jon","MT","D","M","T000464","40702",NA,NA,1,-0.346607293397072,-0.506178572719332,-0.196160733382613,"Tester (D-MT)"
"Thune","John","SD","R","M","T000250","29754",NA,NA,2,1.06403955253487,0.8968474757282,1.20017555492023,"Thune (R-SD)"
"Toomey","Patrick","PA","R","M","T000461","29935",NA,NA,5,1.07012603963932,0.90755649970049,1.22824521818484,"Toomey (R-PA)"
"Udall","Mark","CO","D","M","U000038","29906",NA,NA,8,-0.513486317256624,-0.6992174402328,-0.333149806905336,"Udall (D-CO)"
"Udall","Tom","NM","D","M","U000039","29924",NA,NA,1,-0.847580861825071,-1.12837905589642,-0.578354877038349,"Udall (D-NM)"
"Vitter","David","LA","R","M","V000127","29918",NA,NA,20,1.25195875045826,1.07771944222387,1.42271363090525,"Vitter (R-LA)"
"Warner","Mark","VA","D","M","W000805","",NA,NA,7,-0.443629844793402,-0.613468714852051,-0.300255514088949,"Warner (D-VA)"
"Warren","Elizabeth","MA","D","F","W000817","",NA,NA,5,-1.04766606375277,-1.48282811927379,-0.690023321243019,"Warren (D-MA)"
"Whitehouse","Sheldon","RI","D","M","W000802","40704",NA,NA,4,-1.09964155552838,-1.47811372520133,-0.680648068214476,"Whitehouse (D-RI)"
"Wicker","Roger","MS","R","M","W000437","29534",NA,NA,6,0.886806531117121,0.754639563733692,1.01946573093895,"Wicker (R-MS)"
"Wyden","Ron","OR","D","M","W000779","14871",NA,NA,1,-0.659467315020444,-0.883817878512292,-0.462924929422455,"Wyden (D-OR)"
